nombre,sku,categoriaId,impuestoId,costo,precioVenta,unidadMedida,stockInicial,stockMinimo,sucursalId
Producto JMeter 0311,JMT-PROD-0311,3,2,388.87,521.09,Paquete,103,10,2
Producto JMeter 0312,JMT-PROD-0312,3,2,390.04,538.26,Docena,106,11,2
Producto JMeter 0313,JMT-PROD-0313,3,2,391.21,555.52,Unidad,109,12,2
Producto JMeter 0314,JMT-PROD-0314,3,2,392.38,572.87,Kilogramo,112,13,2
Producto JMeter 0315,JMT-PROD-0315,3,2,393.55,511.62,Gramo,115,14,2
Producto JMeter 0316,JMT-PROD-0316,3,2,394.72,528.92,Litro,118,15,2
Producto JMeter 0317,JMT-PROD-0317,3,2,395.89,546.33,Metro,121,16,2
Producto JMeter 0318,JMT-PROD-0318,3,2,397.06,563.83,Caja,124,17,2
Producto JMeter 0319,JMT-PROD-0319,3,2,398.23,581.42,Paquete,127,18,2
Producto JMeter 0320,JMT-PROD-0320,3,2,399.40,519.22,Docena,130,19,2
Producto JMeter 0321,JMT-PROD-0321,3,2,400.57,536.76,Unidad,133,0,2
Producto JMeter 0322,JMT-PROD-0322,3,2,401.74,554.40,Kilogramo,136,1,2
Producto JMeter 0323,JMT-PROD-0323,3,2,402.91,572.13,Gramo,139,2,2
Producto JMeter 0324,JMT-PROD-0324,3,2,404.08,589.96,Litro,142,3,2
Producto JMeter 0325,JMT-PROD-0325,3,2,405.25,526.83,Metro,145,4,2
Producto JMeter 0326,JMT-PROD-0326,3,2,406.42,544.60,Caja,148,5,2
Producto JMeter 0327,JMT-PROD-0327,3,2,407.59,562.47,Paquete,11,6,2
Producto JMeter 0328,JMT-PROD-0328,3,2,408.76,580.44,Docena,14,7,2
Producto JMeter 0329,JMT-PROD-0329,3,2,409.93,598.50,Unidad,17,8,2
Producto JMeter 0330,JMT-PROD-0330,3,2,411.10,534.43,Kilogramo,20,9,2
Producto JMeter 0331,JMT-PROD-0331,3,2,412.27,552.44,Gramo,23,10,2
Producto JMeter 0332,JMT-PROD-0332,3,2,413.44,570.55,Litro,26,11,2
Producto JMeter 0333,JMT-PROD-0333,3,2,414.61,588.75,Metro,29,12,2
Producto JMeter 0334,JMT-PROD-0334,3,2,415.78,607.04,Caja,32,13,2
Producto JMeter 0335,JMT-PROD-0335,3,2,416.95,542.04,Paquete,35,14,2
Producto JMeter 0336,JMT-PROD-0336,3,2,418.12,560.28,Docena,38,15,2
Producto JMeter 0337,JMT-PROD-0337,3,2,419.29,578.62,Unidad,41,16,2
Producto JMeter 0338,JMT-PROD-0338,3,2,420.46,597.05,Kilogramo,44,17,2
Producto JMeter 0339,JMT-PROD-0339,3,2,421.63,615.58,Gramo,47,18,2
Producto JMeter 0340,JMT-PROD-0340,3,2,422.80,549.64,Litro,50,19,2
Producto JMeter 0341,JMT-PROD-0341,3,2,423.97,568.12,Metro,53,0,2
Producto JMeter 0342,JMT-PROD-0342,3,2,425.14,586.69,Caja,56,1,2
Producto JMeter 0343,JMT-PROD-0343,3,2,426.31,605.36,Paquete,59,2,2
Producto JMeter 0344,JMT-PROD-0344,3,2,427.48,624.12,Docena,62,3,2
Producto JMeter 0345,JMT-PROD-0345,3,2,428.65,557.24,Unidad,65,4,2
Producto JMeter 0346,JMT-PROD-0346,3,2,429.82,575.96,Kilogramo,68,5,2
Producto JMeter 0347,JMT-PROD-0347,3,2,430.99,594.77,Gramo,71,6,2
Producto JMeter 0348,JMT-PROD-0348,3,2,432.16,613.67,Litro,74,7,2
Producto JMeter 0349,JMT-PROD-0349,3,2,433.33,632.66,Metro,77,8,2
Producto JMeter 0350,JMT-PROD-0350,3,2,434.50,564.85,Caja,80,9,2
Producto JMeter 0351,JMT-PROD-0351,3,2,435.67,583.80,Paquete,83,10,2
Producto JMeter 0352,JMT-PROD-0352,3,2,436.84,602.84,Docena,86,11,2
Producto JMeter 0353,JMT-PROD-0353,3,2,438.01,621.97,Unidad,89,12,2
Producto JMeter 0354,JMT-PROD-0354,3,2,439.18,641.20,Kilogramo,92,13,2
Producto JMeter 0355,JMT-PROD-0355,3,2,440.35,572.46,Gramo,95,14,2
Producto JMeter 0356,JMT-PROD-0356,3,2,441.52,591.64,Litro,98,15,2
Producto JMeter 0357,JMT-PROD-0357,3,2,442.69,610.91,Metro,101,16,2
Producto JMeter 0358,JMT-PROD-0358,3,2,443.86,630.28,Caja,104,17,2
Producto JMeter 0359,JMT-PROD-0359,3,2,445.03,649.74,Paquete,107,18,2
Producto JMeter 0360,JMT-PROD-0360,3,2,446.20,580.06,Docena,110,19,2
Producto JMeter 0361,JMT-PROD-0361,3,2,447.37,599.48,Unidad,113,0,2
Producto JMeter 0362,JMT-PROD-0362,3,2,448.54,618.99,Kilogramo,116,1,2
Producto JMeter 0363,JMT-PROD-0363,3,2,449.71,638.59,Gramo,119,2,2
Producto JMeter 0364,JMT-PROD-0364,3,2,450.88,658.28,Litro,122,3,2
Producto JMeter 0365,JMT-PROD-0365,3,2,452.05,587.67,Metro,125,4,2
Producto JMeter 0366,JMT-PROD-0366,3,2,453.22,607.31,Caja,128,5,2
Producto JMeter 0367,JMT-PROD-0367,3,2,454.39,627.06,Paquete,131,6,2
Producto JMeter 0368,JMT-PROD-0368,3,2,455.56,646.90,Docena,134,7,2
Producto JMeter 0369,JMT-PROD-0369,3,2,456.73,666.83,Unidad,137,8,2
Producto JMeter 0370,JMT-PROD-0370,3,2,457.90,595.27,Kilogramo,140,9,2
Producto JMeter 0371,JMT-PROD-0371,3,2,459.07,615.15,Gramo,143,10,2
Producto JMeter 0372,JMT-PROD-0372,3,2,460.24,635.13,Litro,146,11,2
Producto JMeter 0373,JMT-PROD-0373,3,2,461.41,655.20,Metro,149,12,2
Producto JMeter 0374,JMT-PROD-0374,3,2,462.58,675.37,Caja,12,13,2
Producto JMeter 0375,JMT-PROD-0375,3,2,463.75,602.88,Paquete,15,14,2
Producto JMeter 0376,JMT-PROD-0376,3,2,464.92,622.99,Docena,18,15,2
Producto JMeter 0377,JMT-PROD-0377,3,2,466.09,643.20,Unidad,21,16,2
Producto JMeter 0378,JMT-PROD-0378,3,2,467.26,663.51,Kilogramo,24,17,2
Producto JMeter 0379,JMT-PROD-0379,3,2,468.43,683.91,Gramo,27,18,2
Producto JMeter 0380,JMT-PROD-0380,3,2,469.60,610.48,Litro,30,19,2
Producto JMeter 0381,JMT-PROD-0381,3,2,470.77,630.83,Metro,33,0,2
Producto JMeter 0382,JMT-PROD-0382,3,2,471.94,651.28,Caja,36,1,2
Producto JMeter 0383,JMT-PROD-0383,3,2,473.11,671.82,Paquete,39,2,2
Producto JMeter 0384,JMT-PROD-0384,3,2,474.28,692.45,Docena,42,3,2
Producto JMeter 0385,JMT-PROD-0385,3,2,475.45,618.08,Unidad,45,4,2
Producto JMeter 0386,JMT-PROD-0386,3,2,476.62,638.67,Kilogramo,48,5,2
Producto JMeter 0387,JMT-PROD-0387,3,2,477.79,659.35,Gramo,51,6,2
Producto JMeter 0388,JMT-PROD-0388,3,2,478.96,680.12,Litro,54,7,2
Producto JMeter 0389,JMT-PROD-0389,3,2,480.13,700.99,Metro,57,8,2
Producto JMeter 0390,JMT-PROD-0390,3,2,481.30,625.69,Caja,60,9,2
Producto JMeter 0391,JMT-PROD-0391,3,2,482.47,646.51,Paquete,63,10,2
Producto JMeter 0392,JMT-PROD-0392,3,2,483.64,667.42,Docena,66,11,2
Producto JMeter 0393,JMT-PROD-0393,3,2,484.81,688.43,Unidad,69,12,2
Producto JMeter 0394,JMT-PROD-0394,3,2,485.98,709.53,Kilogramo,72,13,2
Producto JMeter 0395,JMT-PROD-0395,3,2,487.15,633.29,Gramo,75,14,2
Producto JMeter 0396,JMT-PROD-0396,3,2,488.32,654.35,Litro,78,15,2
Producto JMeter 0397,JMT-PROD-0397,3,2,489.49,675.50,Metro,81,16,2
Producto JMeter 0398,JMT-PROD-0398,3,2,490.66,696.74,Caja,84,17,2
Producto JMeter 0399,JMT-PROD-0399,3,2,491.83,718.07,Paquete,87,18,2
Producto JMeter 0400,JMT-PROD-0400,3,2,493.00,640.90,Docena,90,19,2
Producto JMeter 0401,JMT-PROD-0401,3,2,494.17,662.19,Unidad,93,0,2
Producto JMeter 0402,JMT-PROD-0402,3,2,495.34,683.57,Kilogramo,96,1,2
Producto JMeter 0403,JMT-PROD-0403,3,2,496.51,705.04,Gramo,99,2,2
Producto JMeter 0404,JMT-PROD-0404,3,2,497.68,726.61,Litro,102,3,2
Producto JMeter 0405,JMT-PROD-0405,3,2,498.85,648.50,Metro,105,4,2
Producto JMeter 0406,JMT-PROD-0406,3,2,500.02,670.03,Caja,108,5,2
Producto JMeter 0407,JMT-PROD-0407,3,2,501.19,691.64,Paquete,111,6,2
Producto JMeter 0408,JMT-PROD-0408,3,2,502.36,713.35,Docena,114,7,2
Producto JMeter 0409,JMT-PROD-0409,3,2,503.53,735.15,Unidad,117,8,2
Producto JMeter 0410,JMT-PROD-0410,3,2,504.70,656.11,Kilogramo,120,9,2
Producto JMeter 0411,JMT-PROD-0411,3,2,505.87,677.87,Gramo,123,10,2
Producto JMeter 0412,JMT-PROD-0412,3,2,507.04,699.72,Litro,126,11,2
Producto JMeter 0413,JMT-PROD-0413,3,2,508.21,721.66,Metro,129,12,2
Producto JMeter 0414,JMT-PROD-0414,3,2,509.38,743.69,Caja,132,13,2
Producto JMeter 0415,JMT-PROD-0415,3,2,510.55,663.72,Paquete,135,14,2
Producto JMeter 0416,JMT-PROD-0416,3,2,511.72,685.70,Docena,138,15,2
Producto JMeter 0417,JMT-PROD-0417,3,2,512.89,707.79,Unidad,141,16,2
Producto JMeter 0418,JMT-PROD-0418,3,2,514.06,729.97,Kilogramo,144,17,2
Producto JMeter 0419,JMT-PROD-0419,3,2,515.23,752.24,Gramo,147,18,2
Producto JMeter 0420,JMT-PROD-0420,3,2,516.40,671.32,Litro,10,19,2
Producto JMeter 0421,JMT-PROD-0421,3,2,517.57,693.54,Metro,13,0,2
Producto JMeter 0422,JMT-PROD-0422,3,2,518.74,715.86,Caja,16,1,2
Producto JMeter 0423,JMT-PROD-0423,3,2,519.91,738.27,Paquete,19,2,2
Producto JMeter 0424,JMT-PROD-0424,3,2,521.08,760.78,Docena,22,3,2
Producto JMeter 0425,JMT-PROD-0425,3,2,522.25,678.92,Unidad,25,4,2
Producto JMeter 0426,JMT-PROD-0426,3,2,523.42,701.38,Kilogramo,28,5,2
Producto JMeter 0427,JMT-PROD-0427,3,2,524.59,723.93,Gramo,31,6,2
Producto JMeter 0428,JMT-PROD-0428,3,2,525.76,746.58,Litro,34,7,2
Producto JMeter 0429,JMT-PROD-0429,3,2,526.93,769.32,Metro,37,8,2
Producto JMeter 0430,JMT-PROD-0430,3,2,528.10,686.53,Caja,40,9,2
Producto JMeter 0431,JMT-PROD-0431,3,2,529.27,709.22,Paquete,43,10,2
Producto JMeter 0432,JMT-PROD-0432,3,2,530.44,732.01,Docena,46,11,2
Producto JMeter 0433,JMT-PROD-0433,3,2,531.61,754.89,Unidad,49,12,2
Producto JMeter 0434,JMT-PROD-0434,3,2,532.78,777.86,Kilogramo,52,13,2
Producto JMeter 0435,JMT-PROD-0435,3,2,533.95,694.14,Gramo,55,14,2
Producto JMeter 0436,JMT-PROD-0436,3,2,535.12,717.06,Litro,58,15,2
Producto JMeter 0437,JMT-PROD-0437,3,2,536.29,740.08,Metro,61,16,2
Producto JMeter 0438,JMT-PROD-0438,3,2,537.46,763.19,Caja,64,17,2
Producto JMeter 0439,JMT-PROD-0439,3,2,538.63,786.40,Paquete,67,18,2
Producto JMeter 0440,JMT-PROD-0440,3,2,539.80,701.74,Docena,70,19,2
Producto JMeter 0441,JMT-PROD-0441,3,2,540.97,724.90,Unidad,73,0,2
Producto JMeter 0442,JMT-PROD-0442,3,2,542.14,748.15,Kilogramo,76,1,2
Producto JMeter 0443,JMT-PROD-0443,3,2,543.31,771.50,Gramo,79,2,2
Producto JMeter 0444,JMT-PROD-0444,3,2,544.48,794.94,Litro,82,3,2
Producto JMeter 0445,JMT-PROD-0445,3,2,545.65,709.34,Metro,85,4,2
Producto JMeter 0446,JMT-PROD-0446,3,2,546.82,732.74,Caja,88,5,2
Producto JMeter 0447,JMT-PROD-0447,3,2,547.99,756.23,Paquete,91,6,2
Producto JMeter 0448,JMT-PROD-0448,3,2,549.16,779.81,Docena,94,7,2
Producto JMeter 0449,JMT-PROD-0449,3,2,550.33,803.48,Unidad,97,8,2
Producto JMeter 0450,JMT-PROD-0450,3,2,551.50,716.95,Kilogramo,100,9,2
Producto JMeter 0451,JMT-PROD-0451,3,2,552.67,740.58,Gramo,103,10,2
Producto JMeter 0452,JMT-PROD-0452,3,2,553.84,764.30,Litro,106,11,2
Producto JMeter 0453,JMT-PROD-0453,3,2,555.01,788.11,Metro,109,12,2
Producto JMeter 0454,JMT-PROD-0454,3,2,556.18,812.02,Caja,112,13,2
Producto JMeter 0455,JMT-PROD-0455,3,2,557.35,724.56,Paquete,115,14,2
Producto JMeter 0456,JMT-PROD-0456,3,2,558.52,748.42,Docena,118,15,2
Producto JMeter 0457,JMT-PROD-0457,3,2,559.69,772.37,Unidad,121,16,2
Producto JMeter 0458,JMT-PROD-0458,3,2,560.86,796.42,Kilogramo,124,17,2
Producto JMeter 0459,JMT-PROD-0459,3,2,562.03,820.56,Gramo,127,18,2
Producto JMeter 0460,JMT-PROD-0460,3,2,563.20,732.16,Litro,130,19,2
Producto JMeter 0461,JMT-PROD-0461,3,2,564.37,756.26,Metro,133,0,2
Producto JMeter 0462,JMT-PROD-0462,3,2,565.54,780.45,Caja,136,1,2
Producto JMeter 0463,JMT-PROD-0463,3,2,566.71,804.73,Paquete,139,2,2
Producto JMeter 0464,JMT-PROD-0464,3,2,567.88,829.10,Docena,142,3,2
Producto JMeter 0465,JMT-PROD-0465,3,2,569.05,739.76,Unidad,145,4,2
Producto JMeter 0466,JMT-PROD-0466,3,2,570.22,764.09,Kilogramo,148,5,2
Producto JMeter 0467,JMT-PROD-0467,3,2,571.39,788.52,Gramo,11,6,2
Producto JMeter 0468,JMT-PROD-0468,3,2,572.56,813.04,Litro,14,7,2
Producto JMeter 0469,JMT-PROD-0469,3,2,573.73,837.65,Metro,17,8,2
Producto JMeter 0470,JMT-PROD-0470,3,2,574.90,747.37,Caja,20,9,2
Producto JMeter 0471,JMT-PROD-0471,3,2,576.07,771.93,Paquete,23,10,2
Producto JMeter 0472,JMT-PROD-0472,3,2,577.24,796.59,Docena,26,11,2
Producto JMeter 0473,JMT-PROD-0473,3,2,578.41,821.34,Unidad,29,12,2
Producto JMeter 0474,JMT-PROD-0474,3,2,579.58,846.19,Kilogramo,32,13,2
Producto JMeter 0475,JMT-PROD-0475,3,2,580.75,754.98,Gramo,35,14,2
Producto JMeter 0476,JMT-PROD-0476,3,2,581.92,779.77,Litro,38,15,2
Producto JMeter 0477,JMT-PROD-0477,3,2,583.09,804.66,Metro,41,16,2
Producto JMeter 0478,JMT-PROD-0478,3,2,584.26,829.65,Caja,44,17,2
Producto JMeter 0479,JMT-PROD-0479,3,2,585.43,854.73,Paquete,47,18,2
Producto JMeter 0480,JMT-PROD-0480,3,2,586.60,762.58,Docena,50,19,2
Producto JMeter 0481,JMT-PROD-0481,3,2,587.77,787.61,Unidad,53,0,2
Producto JMeter 0482,JMT-PROD-0482,3,2,588.94,812.74,Kilogramo,56,1,2
Producto JMeter 0483,JMT-PROD-0483,3,2,590.11,837.96,Gramo,59,2,2
Producto JMeter 0484,JMT-PROD-0484,3,2,591.28,863.27,Litro,62,3,2
Producto JMeter 0485,JMT-PROD-0485,3,2,592.45,770.18,Metro,65,4,2
Producto JMeter 0486,JMT-PROD-0486,3,2,593.62,795.45,Caja,68,5,2
Producto JMeter 0487,JMT-PROD-0487,3,2,594.79,820.81,Paquete,71,6,2
Producto JMeter 0488,JMT-PROD-0488,3,2,595.96,846.26,Docena,74,7,2
Producto JMeter 0489,JMT-PROD-0489,3,2,597.13,871.81,Unidad,77,8,2
Producto JMeter 0490,JMT-PROD-0490,3,2,598.30,777.79,Kilogramo,80,9,2
Producto JMeter 0491,JMT-PROD-0491,3,2,599.47,803.29,Gramo,83,10,2
Producto JMeter 0492,JMT-PROD-0492,3,2,600.64,828.88,Litro,86,11,2
Producto JMeter 0493,JMT-PROD-0493,3,2,601.81,854.57,Metro,89,12,2
Producto JMeter 0494,JMT-PROD-0494,3,2,602.98,880.35,Caja,92,13,2
Producto JMeter 0495,JMT-PROD-0495,3,2,604.15,785.40,Paquete,95,14,2
Producto JMeter 0496,JMT-PROD-0496,3,2,605.32,811.13,Docena,98,15,2
Producto JMeter 0497,JMT-PROD-0497,3,2,606.49,836.96,Unidad,101,16,2
Producto JMeter 0498,JMT-PROD-0498,3,2,607.66,862.88,Kilogramo,104,17,2
Producto JMeter 0499,JMT-PROD-0499,3,2,608.83,888.89,Gramo,107,18,2
Producto JMeter 0500,JMT-PROD-0500,3,2,610.00,793.00,Litro,110,19,2
Producto JMeter 0501,JMT-PROD-0501,3,2,611.17,818.97,Metro,113,0,2
Producto JMeter 0502,JMT-PROD-0502,3,2,612.34,845.03,Caja,116,1,2
Producto JMeter 0503,JMT-PROD-0503,3,2,613.51,871.18,Paquete,119,2,2
Producto JMeter 0504,JMT-PROD-0504,3,2,614.68,897.43,Docena,122,3,2
Producto JMeter 0505,JMT-PROD-0505,3,2,615.85,800.60,Unidad,125,4,2
Producto JMeter 0506,JMT-PROD-0506,3,2,617.02,826.81,Kilogramo,128,5,2
Producto JMeter 0507,JMT-PROD-0507,3,2,618.19,853.10,Gramo,131,6,2
Producto JMeter 0508,JMT-PROD-0508,3,2,619.36,879.49,Litro,134,7,2
Producto JMeter 0509,JMT-PROD-0509,3,2,620.53,905.97,Metro,137,8,2
Producto JMeter 0510,JMT-PROD-0510,3,2,621.70,808.21,Caja,140,9,2
Producto JMeter 0511,JMT-PROD-0511,3,2,622.87,834.65,Paquete,143,10,2
Producto JMeter 0512,JMT-PROD-0512,3,2,624.04,861.18,Docena,146,11,2
Producto JMeter 0513,JMT-PROD-0513,3,2,625.21,887.80,Unidad,149,12,2
Producto JMeter 0514,JMT-PROD-0514,3,2,626.38,914.51,Kilogramo,12,13,2
Producto JMeter 0515,JMT-PROD-0515,3,2,627.55,815.82,Gramo,15,14,2
Producto JMeter 0516,JMT-PROD-0516,3,2,628.72,842.48,Litro,18,15,2
Producto JMeter 0517,JMT-PROD-0517,3,2,629.89,869.25,Metro,21,16,2
Producto JMeter 0518,JMT-PROD-0518,3,2,631.06,896.11,Caja,24,17,2
Producto JMeter 0519,JMT-PROD-0519,3,2,632.23,923.06,Paquete,27,18,2
Producto JMeter 0520,JMT-PROD-0520,3,2,633.40,823.42,Docena,30,19,2
Producto JMeter 0521,JMT-PROD-0521,3,2,634.57,850.32,Unidad,33,0,2
Producto JMeter 0522,JMT-PROD-0522,3,2,635.74,877.32,Kilogramo,36,1,2
Producto JMeter 0523,JMT-PROD-0523,3,2,636.91,904.41,Gramo,39,2,2
Producto JMeter 0524,JMT-PROD-0524,3,2,638.08,931.60,Litro,42,3,2
Producto JMeter 0525,JMT-PROD-0525,3,2,639.25,831.02,Metro,45,4,2
Producto JMeter 0526,JMT-PROD-0526,3,2,640.42,858.16,Caja,48,5,2
Producto JMeter 0527,JMT-PROD-0527,3,2,641.59,885.39,Paquete,51,6,2
Producto JMeter 0528,JMT-PROD-0528,3,2,642.76,912.72,Docena,54,7,2
Producto JMeter 0529,JMT-PROD-0529,3,2,643.93,940.14,Unidad,57,8,2
Producto JMeter 0530,JMT-PROD-0530,3,2,645.10,838.63,Kilogramo,60,9,2
Producto JMeter 0531,JMT-PROD-0531,3,2,646.27,866.00,Gramo,63,10,2
Producto JMeter 0532,JMT-PROD-0532,3,2,647.44,893.47,Litro,66,11,2
Producto JMeter 0533,JMT-PROD-0533,3,2,648.61,921.03,Metro,69,12,2
Producto JMeter 0534,JMT-PROD-0534,3,2,649.78,948.68,Caja,72,13,2
Producto JMeter 0535,JMT-PROD-0535,3,2,650.95,846.24,Paquete,75,14,2
Producto JMeter 0536,JMT-PROD-0536,3,2,652.12,873.84,Docena,78,15,2
Producto JMeter 0537,JMT-PROD-0537,3,2,653.29,901.54,Unidad,81,16,2
Producto JMeter 0538,JMT-PROD-0538,3,2,654.46,929.33,Kilogramo,84,17,2
Producto JMeter 0539,JMT-PROD-0539,3,2,655.63,957.22,Gramo,87,18,2
Producto JMeter 0540,JMT-PROD-0540,3,2,656.80,853.84,Litro,90,19,2
Producto JMeter 0541,JMT-PROD-0541,3,2,657.97,881.68,Metro,93,0,2
Producto JMeter 0542,JMT-PROD-0542,3,2,659.14,909.61,Caja,96,1,2
Producto JMeter 0543,JMT-PROD-0543,3,2,660.31,937.64,Paquete,99,2,2
Producto JMeter 0544,JMT-PROD-0544,3,2,661.48,965.76,Docena,102,3,2
Producto JMeter 0545,JMT-PROD-0545,3,2,662.65,861.44,Unidad,105,4,2
Producto JMeter 0546,JMT-PROD-0546,3,2,663.82,889.52,Kilogramo,108,5,2
Producto JMeter 0547,JMT-PROD-0547,3,2,664.99,917.69,Gramo,111,6,2
Producto JMeter 0548,JMT-PROD-0548,3,2,666.16,945.95,Litro,114,7,2
Producto JMeter 0549,JMT-PROD-0549,3,2,667.33,974.30,Metro,117,8,2
Producto JMeter 0550,JMT-PROD-0550,3,2,668.50,869.05,Caja,120,9,2
Producto JMeter 0551,JMT-PROD-0551,3,2,669.67,897.36,Paquete,123,10,2
Producto JMeter 0552,JMT-PROD-0552,3,2,670.84,925.76,Docena,126,11,2
Producto JMeter 0553,JMT-PROD-0553,3,2,672.01,954.25,Unidad,129,12,2
Producto JMeter 0554,JMT-PROD-0554,3,2,673.18,982.84,Kilogramo,132,13,2
Producto JMeter 0555,JMT-PROD-0555,3,2,674.35,876.66,Gramo,135,14,2
Producto JMeter 0556,JMT-PROD-0556,3,2,675.52,905.20,Litro,138,15,2
Producto JMeter 0557,JMT-PROD-0557,3,2,676.69,933.83,Metro,141,16,2
Producto JMeter 0558,JMT-PROD-0558,3,2,677.86,962.56,Caja,144,17,2
Producto JMeter 0559,JMT-PROD-0559,3,2,679.03,991.38,Paquete,147,18,2
Producto JMeter 0560,JMT-PROD-0560,3,2,680.20,884.26,Docena,10,19,2
Producto JMeter 0561,JMT-PROD-0561,3,2,681.37,913.04,Unidad,13,0,2
Producto JMeter 0562,JMT-PROD-0562,3,2,682.54,941.91,Kilogramo,16,1,2
Producto JMeter 0563,JMT-PROD-0563,3,2,683.71,970.87,Gramo,19,2,2
Producto JMeter 0564,JMT-PROD-0564,3,2,684.88,999.92,Litro,22,3,2
Producto JMeter 0565,JMT-PROD-0565,3,2,686.05,891.86,Metro,25,4,2
Producto JMeter 0566,JMT-PROD-0566,3,2,687.22,920.87,Caja,28,5,2
Producto JMeter 0567,JMT-PROD-0567,3,2,688.39,949.98,Paquete,31,6,2
Producto JMeter 0568,JMT-PROD-0568,3,2,689.56,979.18,Docena,34,7,2
Producto JMeter 0569,JMT-PROD-0569,3,2,690.73,1008.47,Unidad,37,8,2
Producto JMeter 0570,JMT-PROD-0570,3,2,691.90,899.47,Kilogramo,40,9,2
Producto JMeter 0571,JMT-PROD-0571,3,2,693.07,928.71,Gramo,43,10,2
Producto JMeter 0572,JMT-PROD-0572,3,2,694.24,958.05,Litro,46,11,2
Producto JMeter 0573,JMT-PROD-0573,3,2,695.41,987.48,Metro,49,12,2
Producto JMeter 0574,JMT-PROD-0574,3,2,696.58,1017.01,Caja,52,13,2
Producto JMeter 0575,JMT-PROD-0575,3,2,697.75,907.08,Paquete,55,14,2
Producto JMeter 0576,JMT-PROD-0576,3,2,698.92,936.55,Docena,58,15,2
Producto JMeter 0577,JMT-PROD-0577,3,2,700.09,966.12,Unidad,61,16,2
Producto JMeter 0578,JMT-PROD-0578,3,2,701.26,995.79,Kilogramo,64,17,2
Producto JMeter 0579,JMT-PROD-0579,3,2,702.43,1025.55,Gramo,67,18,2
Producto JMeter 0580,JMT-PROD-0580,3,2,703.60,914.68,Litro,70,19,2
Producto JMeter 0581,JMT-PROD-0581,3,2,704.77,944.39,Metro,73,0,2
Producto JMeter 0582,JMT-PROD-0582,3,2,705.94,974.20,Caja,76,1,2
Producto JMeter 0583,JMT-PROD-0583,3,2,707.11,1004.10,Paquete,79,2,2
Producto JMeter 0584,JMT-PROD-0584,3,2,708.28,1034.09,Docena,82,3,2
Producto JMeter 0585,JMT-PROD-0585,3,2,709.45,922.29,Unidad,85,4,2
Producto JMeter 0586,JMT-PROD-0586,3,2,710.62,952.23,Kilogramo,88,5,2
Producto JMeter 0587,JMT-PROD-0587,3,2,711.79,982.27,Gramo,91,6,2
Producto JMeter 0588,JMT-PROD-0588,3,2,712.96,1012.40,Litro,94,7,2
Producto JMeter 0589,JMT-PROD-0589,3,2,714.13,1042.63,Metro,97,8,2
Producto JMeter 0590,JMT-PROD-0590,3,2,715.30,929.89,Caja,100,9,2
Producto JMeter 0591,JMT-PROD-0591,3,2,716.47,960.07,Paquete,103,10,2
Producto JMeter 0592,JMT-PROD-0592,3,2,717.64,990.34,Docena,106,11,2
Producto JMeter 0593,JMT-PROD-0593,3,2,718.81,1020.71,Unidad,109,12,2
Producto JMeter 0594,JMT-PROD-0594,3,2,719.98,1051.17,Kilogramo,112,13,2
Producto JMeter 0595,JMT-PROD-0595,3,2,721.15,937.50,Gramo,115,14,2
Producto JMeter 0596,JMT-PROD-0596,3,2,722.32,967.91,Litro,118,15,2
Producto JMeter 0597,JMT-PROD-0597,3,2,723.49,998.42,Metro,121,16,2
Producto JMeter 0598,JMT-PROD-0598,3,2,724.66,1029.02,Caja,124,17,2
Producto JMeter 0599,JMT-PROD-0599,3,2,725.83,1059.71,Paquete,127,18,2
Producto JMeter 0600,JMT-PROD-0600,3,2,727.00,945.10,Docena,130,19,2
Producto JMeter 0601,JMT-PROD-0601,3,2,728.17,975.75,Unidad,133,0,2
Producto JMeter 0602,JMT-PROD-0602,3,2,729.34,1006.49,Kilogramo,136,1,2
Producto JMeter 0603,JMT-PROD-0603,3,2,730.51,1037.32,Gramo,139,2,2
Producto JMeter 0604,JMT-PROD-0604,3,2,731.68,1068.25,Litro,142,3,2
Producto JMeter 0605,JMT-PROD-0605,3,2,732.85,952.70,Metro,145,4,2
Producto JMeter 0606,JMT-PROD-0606,3,2,734.02,983.59,Caja,148,5,2
Producto JMeter 0607,JMT-PROD-0607,3,2,735.19,1014.56,Paquete,11,6,2
Producto JMeter 0608,JMT-PROD-0608,3,2,736.36,1045.63,Docena,14,7,2
Producto JMeter 0609,JMT-PROD-0609,3,2,737.53,1076.79,Unidad,17,8,2
Producto JMeter 0610,JMT-PROD-0610,3,2,738.70,960.31,Kilogramo,20,9,2
Producto JMeter 0611,JMT-PROD-0611,3,2,739.87,991.43,Gramo,23,10,2
Producto JMeter 0612,JMT-PROD-0612,3,2,741.04,1022.64,Litro,26,11,2
Producto JMeter 0613,JMT-PROD-0613,3,2,742.21,1053.94,Metro,29,12,2
Producto JMeter 0614,JMT-PROD-0614,3,2,743.38,1085.33,Caja,32,13,2
Producto JMeter 0615,JMT-PROD-0615,3,2,744.55,967.92,Paquete,35,14,2
Producto JMeter 0616,JMT-PROD-0616,3,2,745.72,999.26,Docena,38,15,2
Producto JMeter 0617,JMT-PROD-0617,3,2,746.89,1030.71,Unidad,41,16,2
Producto JMeter 0618,JMT-PROD-0618,3,2,748.06,1062.25,Kilogramo,44,17,2
Producto JMeter 0619,JMT-PROD-0619,3,2,749.23,1093.88,Gramo,47,18,2
Producto JMeter 0620,JMT-PROD-0620,3,2,750.40,975.52,Litro,50,19,2
Producto JMeter 0621,JMT-PROD-0621,3,2,751.57,1007.10,Metro,53,0,2
